Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Aradhana Travels,Non AC Seater (2+3),01:00,07:00,06h 00m,475,8 Seats available,3.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
City Express,AC Seater (2+3),05:35,10:20,04h 45m,INR 370,7 Seats available,"3.3
16",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Satya Paribahan,A/C Seater (2+3),05:40,11:35,05h 55m,INR 370,12 Seats available,"3.4
9",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Santosh Bus Service,A/C Seater Push Back (2+3),05:50,10:20,04h 30m,416,2 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Aradhana Bus Service,Non AC Seater (2+3),00:40,05:55,05h 15m,INR 350,53 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Aradhana Bus Service,A/C Seater / Sleeper (2+2),02:00,07:35,05h 35m,INR 400,20 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Aradhana Bus Service,A/C Seater / Sleeper (2+2),02:30,07:40,05h 10m,INR 500,34 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Ankita Paribahan,AC Seater (2+3),05:15,10:00,04h 45m,INR 420,29 Seats available,2.7,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Ankita Paribahan (Satya),A/C Seater Push Back (2+3),05:40,11:35,05h 55m,INR 370,21 Seats available,2.7,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
Satya Paribahan,A/C Executive (2+3),06:00,10:00,04h 00m,INR 350,42 Seats available,"1.7
4",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
City Express,AC Seater (2+3),05:35,09:20,03h 45m,INR 370,7 Seats available,3.3,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
Santosh Bus Service,A/C Seater Push Back (2+3),05:50,09:30,03h 40m,416,2 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
Snemita Parisheba,AC Seater (2+3),05:50,09:30,03h 40m,437,21 Seats available,2.9,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
Aradhana Bus Service,A/C Seater / Sleeper (2+2),02:00,06:00,04h 00m,INR 580,61 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
Aradhana Bus Service,A/C Seater / Sleeper (2+2),02:30,06:00,03h 30m,INR 500,34 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
Aradhana Bus Service,Non AC Seater (2+3),00:40,05:00,04h 20m,INR 350,53 Seats available,2.4,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
City Express,AC Seater (2+3),04:53,10:20,05h 27m,INR 370,7 Seats available,"4.0
17",https://www.redbus.in/bus-tickets/habra-to-digha,Habra to Digha
Santosh Bus Service,A/C Seater Push Back (2+3),05:10,10:20,05h 10m,416,2 Seats available,"3.4
55",https://www.redbus.in/bus-tickets/habra-to-digha,Habra to Digha
Satya Paribahan,A/C Executive (2+3),05:20,10:00,04h 40m,INR 350,42 Seats available,2.9,https://www.redbus.in/bus-tickets/habra-to-digha,Habra to Digha
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),06:00,09:00,03h 00m,INR 486,27 Seats available,"4.3
23",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),06:00,09:15,03h 15m,INR 486,28 Seats available,"4.7
385",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:15,09:30,03h 15m,INR 486,35 Seats available,"4.3
331",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),06:30,09:45,03h 15m,INR 486,24 Seats available,"4.2
247",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),06:30,10:15,03h 45m,INR 486,38 Seats available,"4.7
135",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:00,10:30,03h 30m,INR 486,20 Seats available,"4.7
337",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line,Volvo 9600 A/C Seater (2+2),07:05,10:20,03h 15m,INR 486,47 Seats available,"4.6
288",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
