Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:45,04h 30m,INR 389.13,36 Seats available,"4.6
420",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),Non AC Seater (2+1),06:30,11:30,05h 00m,INR 450,28 Seats available,3.2,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),06:45,11:10,04h 25m,INR 400,35 Seats available,"4.6
99",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
AdKalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,342,44 Seats available,"4.8
34",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,450,26 Seats available,3.8,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 485.57,28 Seats available,"4.3
117",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,11:30,04h 00m,INR 389.13,38 Seats available,"4.7
378",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),07:45,13:10,05h 25m,INR 450,26 Seats available,"3.1
12",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),09:05,14:30,05h 25m,INR 300,41 Seats available,"4.0
30",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,15:00,05h 00m,359,34 Seats available,"4.2
290",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:30,15:25,04h 55m,359,34 Seats available,"3.5
77",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kanchan Travels,AC Seater (2+2),10:45,16:00,05h 15m,INR 361,30 Seats available,"4.3
26",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),11:30,15:30,04h 00m,INR 380.95,34 Seats available,"3.8
312",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,35 Seats available,"4.2
158",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,389,38 Seats available,"4.5
137",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 138447,NON A/C Seater Push Back (2+1),08:00,14:45,06h 45m,INR 350,29 Seats available,"3.3
48",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Aniruddha Travels,AC Seater (2+2),07:50,15:00,07h 10m,INR 570,25 Seats available,"4.1
21",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
MOON TRAVELS,AC Seater (2+2),07:15,14:15,07h 00m,475,27 Seats available,"3.9
8",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Neha Travels,NON A/C Seater (2+2),22:10,03:30,05h 20m,INR 650,35 Seats available,"1.9
5",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,03:00,07h 15m,INR 520,50 Seats available,"2.1
10",https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,03:00,05h 30m,500,48 Seats available,3.7,https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Neha Travels,NON A/C Seater (2+2),22:20,06:00,07h 40m,INR 650,34 Seats available,1.9,https://www.redbus.in/bus-tickets/tezpur-to-moran,Tezpur to Moran
Assam State Transport Corporation (ASTC) - 82639,A/C Seater (2+1),09:20,16:30,07h 10m,INR 404,24 Seats available,"3.7
43",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Aniruddha Travels,AC Seater (2+2),08:25,15:35,07h 10m,INR 570,41 Seats available,"4.5
30",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),20:45,04:00,07h 15m,INR 550,43 Seats available,"2.7
38",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),20:45,04:30,07h 45m,INR 520,50 Seats available,"2.6
9",https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),20:15,03:00,06h 45m,500,46 Seats available,3.7,https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
MOON TRAVELS,AC Seater (2+2),10:30,17:00,06h 30m,523,40 Seats available,2.7,https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Neha Travels,NON A/C Seater (2+2),18:00,03:15,09h 15m,INR 650,35 Seats available,2.4,https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Neha Travels,NON A/C Seater (2+2),18:30,05:00,10h 30m,INR 650,35 Seats available,2.4,https://www.redbus.in/bus-tickets/moran-to-tezpur,Moran to Tezpur
Assam State Transport Corporation (ASTC) - 139495,NON A/C Seater Push Back (2+1),07:30,14:00,06h 30m,INR 273,29 Seats available,"3.4
51",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Purple Wings Coaches,A/C Seater / Sleeper (2+1),00:15,04:30,04h 15m,567,23 Seats available,"3.9
4",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Slumber 37,Bharat Benz A/C Sleeper (2+1),01:00,06:00,05h 00m,675,27 Seats available,4.2,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),02:00,07:15,05h 15m,449,42 Seats available,3.3,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
MOON TRAVELS,AC Seater (2+2),09:45,15:20,05h 35m,523,40 Seats available,3.1,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Aniruddha Travels,AC Seater (2+2),10:15,16:15,06h 00m,INR 570,30 Seats available,"3.3
9",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),12:15,17:00,04h 45m,INR 550,34 Seats available,4.1,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,12:30,17:15,04h 45m,INR 755.58,38 Seats available,"4.5
12",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Bashudev Transline (Under ASTC),A/C Seater (2+1),12:35,18:00,05h 25m,INR 550,37 Seats available,"3.9
8",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),23:15,04:00,04h 45m,INR 550,47 Seats available,"3.1
5",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
Christina Travels,NON A/C Seater (2+2),11:00,16:30,05h 30m,650,45 Seats available,"2.9
11",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),23:30,04:00,04h 30m,INR 500,50 Seats available,2.7,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh
